title,MAL_id,type,studio,release-season,release-year,realase-date,source-material,episodes,score,members
Dekobou Shingachou: Meian no Shippai,23189,Movie,          -,winter,1917.0,,Original,1.0,5.56,846.0
Imokawa Mukuzo: Genkanban no Maki,17387,Movie,          -,winter,1917.0,,Original,1.0,5.35,681.0
Namakura Gatana,6654,Movie,          -,spring,1917.0,1917-06-30 00:00:00,Original,1.0,5.53,6273.0
Saru to Kani no Gassen,10742,Movie,          -,spring,1917.0,1917-05-20 00:00:00,Other,1.0,5.08,697.0
Imokawa Mukuzo: Chuugaeri no Maki,24577,Movie,          -,spring,1917.0,,Original,1.0,0.0,364.0
Yume no Jidousha,24575,Movie,          -,spring,1917.0,,Original,1.0,0.0,353.0
Chamebou Shin Gachou: Nomi Fuufu Shikaeshi no Maki,23187,Movie,          -,spring,1917.0,1917-04-28 00:00:00,Original,1.0,0.0,323.0
Hanasaka Jijii,18457,Movie,          -,summer,1917.0,1917-08-26 00:00:00,Other,1.0,5.0,852.0
Neko to Nezumi,24573,Movie,          -,summer,1917.0,1917-07-04 00:00:00,Original,1.0,0.0,326.0
Itazura Post,23183,Movie,          -,summer,1917.0,1917-07-28 00:00:00,Original,1.0,0.0,321.0
Chamebou Kuukijuu no Maki,23185,Movie,          -,summer,1917.0,1917-08-11 00:00:00,Original,1.0,0.0,303.0
Kachikachi Yama,10757,Movie,          -,fall,1917.0,1917-10-20 00:00:00,Other,1.0,5.51,527.0
Shita-kiri Suzume,10756,Movie,          -,fall,1917.0,1917-10-18 00:00:00,Original,1.0,0.0,354.0
Chokin no Susume,23191,Movie,          -,fall,1917.0,1917-10-07 00:00:00,Original,1.0,0.0,328.0
Urashima Tarou (supposed title),7485,Movie,          -,winter,1918.0,1918-02-01 00:00:00,Other,1.0,4.71,2031.0
Momotarou,10758,Movie,          -,winter,1918.0,1918-03-01 00:00:00,Original,1.0,5.77,480.0
Kobutori,22511,Movie,          -,winter,1918.0,1918-03-19 00:00:00,Other,1.0,5.82,423.0
