,title,MAL_id,type,studio,release-season,release-year,release-date,source-material,episodes,score,members,genres
0,Dekobou Shingachou: Meian no Shippai,23189,Movie,Unknown,winter,1917.0,,Original,1.0,5.39,1200.0,"['Comedy']"
1,Imokawa Mukuzo: Genkanban no Maki,17387,Movie,Unknown,winter,1917.0,,Original,1.0,5.38,857.0,"['Comedy']"
2,Namakura Gatana,6654,Movie,Unknown,spring,1917.0,,Original,1.0,5.52,7700.0,"['Comedy']"
3,Saru to Kani no Gassen,10742,Movie,Unknown,spring,1917.0,,Other,1.0,4.99,860.0,"['Drama']"
4,Imokawa Mukuzo: Chuugaeri no Maki,24577,Movie,Unknown,spring,1917.0,,Original,1.0,0.0,447.0,"['Comedy']"
5,Yume no Jidousha,24575,Movie,Unknown,spring,1917.0,,Original,1.0,0.0,446.0,
6,Chamebou Shin Gachou: Nomi Fuufu Shikaeshi no Maki,23187,Movie,Unknown,spring,1917.0,,Original,1.0,0.0,386.0,"['Comedy']"
7,Hanasaka Jijii,18457,Movie,Unknown,summer,1917.0,,Other,1.0,4.93,999.0,"['Comedy', 'Drama']"
8,Neko to Nezumi,24573,Movie,Unknown,summer,1917.0,,Original,1.0,0.0,396.0,"['Comedy']"
9,Itazura Post,23183,Movie,Unknown,summer,1917.0,,Original,1.0,0.0,383.0,"['Comedy']"
10,Chamebou Kuukijuu no Maki,23185,Movie,Unknown,summer,1917.0,,Original,1.0,0.0,366.0,"['Comedy']"
11,Kachikachi Yama,10757,Movie,Unknown,fall,1917.0,,Other,1.0,5.46,657.0,"['Drama']"
12,Shita-kiri Suzume,10756,Movie,Unknown,fall,1917.0,,Original,1.0,0.0,422.0,"['Drama']"
13,Chokin no Susume,23191,Movie,Unknown,fall,1917.0,,Original,1.0,0.0,394.0,"['Comedy']"
14,Otogi Banashi: Bunbuku Chagama,23181,Movie,Unknown,fall,1917.0,,Other,1.0,0.0,315.0,
15,Urashima Tarou (supposed title),7485,Movie,Unknown,winter,1918.0,,Other,1.0,4.7,2400.0,
16,Momotarou,10758,Movie,Unknown,winter,1918.0,,Original,1.0,5.72,558.0,"['Drama']"
