title,MAL_id,type,studio,release-season,release-year,release-date,source-material,episodes,score,members
Mahou Shoujo Madoka★Magica,9756,TV (New),Shaft,winter,2011.0,2011-01-07 01:25:00,Original,12.0,8.36,1100530.0
Kore wa Zombie Desu ka?,8841,TV (New),Studio Deen,winter,2011.0,2011-01-11 00:00:00,Light novel,12.0,7.38,570644.0
IS: Infinite Stratos,9041,TV (New),8bit,winter,2011.0,2011-01-07 01:25:00,Light novel,12.0,6.67,566992.0
Beelzebub,9513,TV (New),Pierrot Plus,winter,2011.0,2011-01-09 00:00:00,Manga,60.0,7.88,523214.0
Gosick,8425,TV (New),Bones,winter,2011.0,2011-01-08 01:23:00,Light novel,24.0,8.07,476506.0
Kimi ni Todoke 2nd Season,9656,TV (New),Production I.G,winter,2011.0,2011-01-12 00:59:00,Manga,12.0,7.99,386945.0
Freezing,9367,TV (New),A.C.G.T.,winter,2011.0,2011-01-08 09:30:00,Manga,12.0,6.84,292213.0
Dragon Crisis!,9330,TV (New),Studio Deen,winter,2011.0,2011-01-11 01:30:00,Light novel,12.0,6.66,160001.0
Yumekui Merry,9331,TV (New),J.C.Staff,winter,2011.0,2011-01-07 00:00:00,Manga,13.0,6.93,128446.0
Hourou Musuko,8426,TV (New),AIC Classic,winter,2011.0,2011-01-14 01:15:00,Manga,11.0,7.72,115776.0
Level E,9834,TV (New),"David Production, Studio Pierrot",winter,2011.0,2011-01-11 00:00:00,Manga,13.0,7.43,86965.0
Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!,9587,TV (New),Zexcs,winter,2011.0,2011-01-09 00:30:00,Manga,12.0,6.11,82039.0
Fractale,9314,TV (New),"A-1 Pictures, Ordet",winter,2011.0,2011-01-14 00:45:00,Original,11.0,6.94,77551.0
Cardfight!! Vanguard,9539,TV (New),TMS Entertainment,winter,2011.0,2011-01-08 08:00:00,Original,65.0,7.02,48176.0
Mitsudomoe Zouryouchuu!,9510,TV (New),Bridge,winter,2011.0,2011-01-09 00:00:00,Manga,8.0,7.69,42065.0
Bakugan Battle Brawlers: Mechtanium Surge,10330,TV (New),TMS Entertainment,winter,2011.0,2011-02-13 00:00:00,Original,46.0,6.2,39398.0
Rio: Rainbow Gate!,8241,TV (New),Xebec,winter,2011.0,2011-01-04 00:00:00,Other,13.0,5.87,36594.0
Haiyoru! Nyaruani: Remember My Love(craft-sensei),9598,TV (New),DLE,winter,2011.0,2010-12-11 00:00:00,Light novel,11.0,6.24,26673.0
Wolverine,6918,TV (New),Madhouse,winter,2011.0,2011-01-07 00:00:00,Other,12.0,6.05,24094.0
Suite Precure♪,9893,TV (New),Toei Animation,winter,2011.0,2011-02-06 00:00:00,Original,48.0,7.27,13399.0
DD Hokuto no Ken,10177,TV (New),          -,winter,2011.0,2011-01-12 02:35:00,Manga,12.0,6.13,4481.0
Oscar's Oasis,33430,TV (New),TUBA,winter,2011.0,2011-02-28 00:00:00,-,78.0,6.4,1020.0
Chi-Sui Maru 2nd Season,11733,TV (New),          -,winter,2011.0,2011-01-15 00:00:00,-,34.0,0.0,298.0
Naruto: Shippuuden,1735,TV (Continuing),Studio Pierrot,winter,2011.0,2007-02-15 19:30:00,Manga,500.0,8.23,1969677.0
One Piece,21,TV (Continuing),Toei Animation,winter,2011.0,1999-10-20 09:30:00,Manga,0.0,8.62,1737573.0
Bleach,269,TV (Continuing),Studio Pierrot,winter,2011.0,2004-10-05 18:00:00,Manga,366.0,7.83,1541041.0
Fairy Tail,6702,TV (Continuing),"A-1 Pictures, Satelight",winter,2011.0,2009-10-12 10:30:00,Manga,175.0,7.6,1521781.0
Bakuman.,7674,TV (Continuing),J.C.Staff,winter,2011.0,2010-10-02 00:00:00,Manga,25.0,8.2,549718.0
Toaru Majutsu no Index II,8937,TV (Continuing),J.C.Staff,winter,2011.0,2010-10-08 23:30:00,Light novel,24.0,7.56,409167.0
Dragon Ball Kai,6033,TV (Continuing),Toei Animation,winter,2011.0,2009-04-05 09:00:00,Manga,97.0,7.71,320597.0
Detective Conan,235,TV (Continuing),TMS Entertainment,winter,2011.0,1996-01-08 18:00:00,Manga,0.0,8.16,293970.0
Inazuma Eleven,5231,TV (Continuing),OLM,winter,2011.0,2008-10-05 00:00:00,Game,127.0,7.63,171982.0
Yu☆Gi☆Oh! 5D's,3972,TV (Continuing),Gallop,winter,2011.0,2008-04-02 18:00:00,Manga,154.0,7.41,119678.0
Star Driver: Kagayaki no Takuto,8934,TV (Continuing),Bones,winter,2011.0,2010-10-03 17:00:00,Original,25.0,7.21,104405.0
Crayon Shin-chan,966,TV (Continuing),Shin-Ei Animation,winter,2011.0,1992-04-13 19:30:00,Manga,0.0,7.73,67999.0
Keroro Gunsou,516,TV (Continuing),Sunrise,winter,2011.0,2004-04-03 00:00:00,Manga,358.0,7.69,66900.0
Tegamibachi Reverse,8311,TV (Continuing),Studio Pierrot,winter,2011.0,2010-10-03 00:10:00,Manga,25.0,7.75,58029.0
Digimon Xros Wars,8624,TV (Continuing),Toei Animation,winter,2011.0,2010-07-06 19:27:00,Original,30.0,6.68,43202.0
Jewelpet Twinkle☆,8217,TV (Continuing),Studio Comet,winter,2011.0,2010-04-03 00:00:00,Original,52.0,7.38,9910.0
Hime Chen! Otogi Chikku Idol Lilpri,8206,TV (Continuing),TMS Entertainment,winter,2011.0,2010-04-04 09:00:00,Game,51.0,6.99,9376.0
Super Robot Taisen OG: The Inspector,9241,TV (Continuing),Asahi Production,winter,2011.0,2010-10-02 00:00:00,Game,26.0,7.24,8599.0
Sazae-san,2406,TV (Continuing),Eiken,winter,2011.0,1969-10-05 18:30:00,4-koma manga,0.0,6.13,6708.0
SD Gundam Sangokuden Brave Battle Warriors,8287,TV (Continuing),Sunrise,winter,2011.0,2010-04-03 00:00:00,Original,51.0,6.3,4200.0
Battle Spirits: Brave,9346,TV (Continuing),Sunrise,winter,2011.0,2010-09-12 07:00:00,Card game,50.0,7.08,3497.0
Mainichi Kaasan,6116,TV (Continuing),          -,winter,2011.0,2009-04-01 00:00:00,Manga,142.0,7.29,2796.0
Gokujou!! Mecha Mote Iinchou Second Collection,8538,TV (Continuing),SynergySP,winter,2011.0,2010-04-03 00:00:00,Manga,51.0,6.28,2545.0
Saikyou Bushouden: Sangoku Engi,6902,TV (Continuing),"Beijing Huihuang Animation Company, Future Planet",winter,2011.0,2010-04-04 09:30:00,Novel,52.0,6.74,2240.0
Shin-Men,9799,TV (Continuing),Shin-Ei Animation,winter,2011.0,2010-11-26 00:00:00,-,13.0,6.14,1449.0
Kuruneko 2nd Season,9013,TV (Continuing),"DAX Production, Studio Deen",winter,2011.0,2010-07-03 11:40:00,Manga,50.0,6.98,1293.0
Chao Zhi Neng Zu Qiu,36993,TV (Continuing),          -,winter,2011.0,2010-06-02 00:00:00,Original,52.0,6.25,1083.0
Marie & Gali ver. 2.0,8409,TV (Continuing),Toei Animation,winter,2011.0,2010-03-20 00:00:00,Original,30.0,5.92,936.0
Oyako Club,12393,TV (Continuing),Eiken,winter,2011.0,1994-10-03 00:00:00,Original,1818.0,5.47,898.0
Gakkou no Kowai Uwasa Shin: Hanako-san ga Kita!!,9345,TV (Continuing),          -,winter,2011.0,2010-08-13 00:00:00,-,33.0,0.0,834.0
Choegang Habche: Mix Master,31246,TV (Continuing),          -,winter,2011.0,2010-05-26 00:00:00,Original,39.0,6.13,660.0
Little Charo 2,13179,TV (Continuing),          -,winter,2011.0,2010-03-29 00:00:00,Original,50.0,0.0,346.0
Tachumaru Gekijou,9562,TV (Continuing),Tatsunoko Production,winter,2011.0,2010-10-04 00:00:00,-,26.0,0.0,290.0
Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,10020,ONA,AIC Build,winter,2011.0,2011-02-22 00:00:00,Light novel,4.0,7.37,174709.0
Rain Town,10448,ONA,          -,winter,2011.0,2011-03-06 00:00:00,Original,1.0,7.14,22740.0
Houkago no Pleiades,9911,ONA,Gainax,winter,2011.0,2011-02-01 00:00:00,Original,4.0,6.14,16968.0
Luo Xiao Hei Zhan Ji,33443,ONA,          -,winter,2011.0,2011-03-17 00:00:00,Original,28.0,7.64,3765.0
SKET Dance: SD Character Flash Anime,16718,ONA,Tatsunoko Production,winter,2011.0,2011-03-07 00:00:00,-,16.0,6.49,3380.0
A Log Day of Timbre,38712,ONA,          -,winter,2011.0,2011-02-25 00:00:00,Original,1.0,4.62,684.0
Timbre A to Z,28591,ONA,          -,winter,2011.0,2011-01-22 00:00:00,Original,26.0,4.62,681.0
Kawaii Cook-san,24807,ONA,Kachidoki Studio,winter,2011.0,2011-03-02 00:00:00,-,1.0,4.78,388.0
Golden★Kids,10323,ONA,          -,winter,2011.0,2011-01-21 00:00:00,-,2.0,0.0,356.0
