title,MAL_id,type,studio,release-season,release-year,realase-date,source-material,episodes,score,members
Shingeki no Kyojin: The Final Season,40028,TV (New),MAPPA,winter,2021.0,2020-12-07 00:10:00,Manga,16.0,8.92,1286929.0
Horimiya,42897,TV (New),CloverWorks,winter,2021.0,2021-01-10 00:30:00,Manga,13.0,8.21,790567.0
Yakusoku no Neverland 2nd Season,39617,TV (New),CloverWorks,winter,2021.0,2021-01-08 01:25:00,Manga,11.0,5.47,703393.0
Dr. Stone: Stone Wars,40852,TV (New),TMS Entertainment,winter,2021.0,2021-01-14 22:30:00,Manga,11.0,8.19,678042.0
Mushoku Tensei: Isekai Ittara Honki Dasu,39535,TV (New),Studio Bind,winter,2021.0,2021-01-11 00:00:00,Light novel,11.0,8.36,665618.0
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,42203,TV (New),White Fox,winter,2021.0,2021-01-06 22:30:00,Light novel,12.0,8.54,579922.0
Tensei shitara Slime Datta Ken 2nd Season,39551,TV (New),8bit,winter,2021.0,2021-01-12 23:00:00,Light novel,12.0,8.41,579328.0
Wonder Egg Priority,43299,TV (New),CloverWorks,winter,2021.0,2021-01-13 01:29:00,Original,12.0,7.89,533780.0
5-toubun no Hanayome ∬,39783,TV (New),Bibury Animation Studios,winter,2021.0,2021-01-08 01:28:00,Manga,12.0,8.15,454440.0
Kaifuku Jutsushi no Yarinaoshi,40750,TV (New),TNK,winter,2021.0,2021-01-13 23:30:00,Light novel,12.0,6.31,390837.0
SK∞,42923,TV (New),Bones,winter,2021.0,2021-01-10 02:00:00,Original,12.0,8.04,350851.0
Beastars 2nd Season,40935,TV (New),Orange,winter,2021.0,2021-01-07 00:55:00,Manga,12.0,7.93,300979.0
Nanatsu no Taizai: Fundo no Shinpan,41491,TV (New),Studio Deen,winter,2021.0,2021-01-13 17:55:00,Manga,24.0,6.62,276909.0
"Kumo Desu ga, Nani ka?",37984,TV (New),Millepensee,winter,2021.0,2021-01-08 21:30:00,Light novel,24.0,7.46,272011.0
Kemono Jihen,40908,TV (New),Ajia-Do,winter,2021.0,2021-01-10 22:00:00,Manga,12.0,7.44,255505.0
Ore dake Haireru Kakushi Dungeon,41899,TV (New),Okuruto Noboru,winter,2021.0,2021-01-09 02:25:00,Light novel,12.0,6.29,244950.0
Jaku-Chara Tomozaki-kun,40530,TV (New),Project No.9,winter,2021.0,2021-01-08 21:00:00,Light novel,12.0,7.19,235184.0
Hataraku Saibou!!,39586,TV (New),David Production,winter,2021.0,2021-01-09 23:30:00,Manga,8.0,7.32,204275.0
Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari,40594,TV (New),LIDENFILMS,winter,2021.0,2021-01-04 22:00:00,Light novel,12.0,6.34,187573.0
Log Horizon: Entaku Houkai,41109,TV (New),Studio Deen,winter,2021.0,2021-01-13 19:25:00,Light novel,12.0,7.04,181700.0
Hataraku Saibou Black (TV),41694,TV (New),LIDENFILMS,winter,2021.0,2021-01-10 00:00:00,Manga,13.0,7.55,171829.0
Yuru Camp△ Season 2,38474,TV (New),C-Station,winter,2021.0,2021-01-07 23:00:00,Manga,13.0,8.54,151898.0
World Trigger 2nd Season,40907,TV (New),Toei Animation,winter,2021.0,2021-01-10 01:30:00,Manga,12.0,8.08,89665.0
Urasekai Picnic,41392,TV (New),"Felix Film, LIDENFILMS",winter,2021.0,2021-01-04 23:30:00,Novel,12.0,6.56,89255.0
2.43: Seiin Koukou Danshi Volley-bu,40679,TV (New),David Production,winter,2021.0,2021-01-08 00:55:00,Novel,12.0,6.16,88599.0
