title,MAL_id,type,studio,release-season,release-year,release-date,source-material,genres,themes,demographics,episodes,score,members
Dekobou Shingachou: Meian no Shippai,23189,Movie,['Unknown'],winter,1917.0,,Original,['Comedy'],[],,1.0,5.86,1300.0
Imokawa Mukuzo: Genkanban no Maki,17387,Movie,['Unknown'],winter,1917.0,,Original,['Comedy'],[],,1.0,5.36,964.0
Namakura Gatana,6654,Movie,['Unknown'],spring,1917.0,,Original,['Comedy'],[],,1.0,5.51,8400.0
Saru to Kani no Gassen,10742,Movie,['Unknown'],spring,1917.0,,Other,['Drama'],[],,1.0,4.9,953.0
Yume no Jidousha,24575,Movie,['Unknown'],spring,1917.0,,Original,[],[],,1.0,0.0,510.0
Imokawa Mukuzo: Chuugaeri no Maki,24577,Movie,['Unknown'],spring,1917.0,,Original,['Comedy'],[],,1.0,0.0,505.0
Chamebou Shin Gachou: Nomi Fuufu Shikaeshi no Maki,23187,Movie,['Unknown'],spring,1917.0,,Original,['Comedy'],[],,1.0,0.0,443.0
Hanasaka Jijii,18457,Movie,['Unknown'],summer,1917.0,,Other,"['Comedy', 'Drama']",[],,1.0,4.86,1100.0
Neko to Nezumi,24573,Movie,['Unknown'],summer,1917.0,,Original,['Comedy'],[],,1.0,0.0,456.0
Itazura Post,23183,Movie,['Unknown'],summer,1917.0,,Original,['Comedy'],[],,1.0,0.0,436.0
Chamebou Kuukijuu no Maki,23185,Movie,['Unknown'],summer,1917.0,,Original,['Comedy'],[],,1.0,0.0,423.0
Imokawa Mukuzo: Tsuri no Maki,50577,Movie,['Unknown'],summer,1917.0,,Original,['Comedy'],[],,1.0,0.0,34.0
Kachikachi Yama,10757,Movie,['Unknown'],fall,1917.0,,Other,['Drama'],[],,1.0,5.44,733.0
Shita-kiri Suzume,10756,Movie,['Unknown'],fall,1917.0,,Original,['Drama'],[],,1.0,0.0,498.0
Chokin no Susume,23191,Movie,['Unknown'],fall,1917.0,,Original,['Comedy'],[],,1.0,0.0,457.0
Otogi Banashi: Bunbuku Chagama,23181,Movie,['Unknown'],fall,1917.0,,Other,[],[],,1.0,0.0,373.0
Urashima Tarou (supposed title),7485,Movie,['Unknown'],winter,1918.0,,Other,[],[],,1.0,4.7,2700.0
Momotarou,10758,Movie,['Unknown'],winter,1918.0,,Original,['Drama'],[],,1.0,5.62,628.0
Issunboushi,10760,Movie,['Unknown'],winter,1918.0,,Original,['Drama'],[],,1.0,5.67,576.0
Kobutori,22511,Movie,['Unknown'],winter,1918.0,,Other,['Comedy'],[],,1.0,5.74,561.0
Kintarou,10759,Movie,['Unknown'],winter,1918.0,,Original,['Drama'],[],,1.0,0.0,474.0
Yukidaruma,30957,Movie,['Unknown'],winter,1918.0,,Original,['Fantasy'],[],,1.0,0.0,435.0
Kaeru no Yume,49243,Movie,['Unknown'],winter,1918.0,,,[],[],,1.0,0.0,111.0
Ari to Hato,21761,Movie,['Unknown'],summer,1918.0,,Other,[],[],,1.0,0.0,377.0
Tarou no Banpei Senkoutei no Maki,49245,Movie,['Unknown'],summer,1918.0,,Original,[],[],,1.0,0.0,41.0
Baguda-jou no Touzoku,28041,Movie,['Unknown'],fall,1926.0,,Original,"['Adventure', 'Romance']",[],,1.0,5.01,1500.0
Mikan-bune,7497,Movie,['Unknown'],winter,1927.0,,Other,[],[],,1.0,4.68,1200.0
Saru Kani Gassen (1927),35391,Movie,['Unknown'],spring,1927.0,,Other,['Drama'],[],,1.0,5.22,946.0
Da Nao Hua Shi,43329,Movie,['Unknown'],spring,1927.0,,Original,['Comedy'],[],,1.0,0.0,127.0
Tako no Hone,35492,Movie,['Unknown'],fall,1927.0,,Other,['Fantasy'],[],,1.0,4.87,786.0
Chinsetsu Yoshida Goten,39083,Movie,['Unknown'],spring,1928.0,,Novel,[],[],,1.0,0.0,266.0
Doubutsu Olympic Taikai,7498,Movie,['Unknown'],summer,1928.0,,Original,"['Comedy', 'Sports']",[],,1.0,5.46,1100.0
Hanasaka Jiisan,30086,Movie,['Unknown'],summer,1928.0,,Other,"['Comedy', 'Drama']",[],,1.0,4.82,1100.0
Bunbuku Chagama,24881,Movie,['Unknown'],summer,1928.0,,Other,[],[],,1.0,0.0,448.0
Kogane no Hana,28045,Movie,['Unknown'],winter,1929.0,,Original,"['Action', 'Adventure', 'Fantasy']",[],,1.0,4.78,992.0
Kaeru wa Kaeru,35491,Movie,['Unknown'],winter,1929.0,,Original,[],[],,1.0,0.0,328.0
Tarou-san no Kisha,5873,Movie,['Unknown'],spring,1929.0,,Original,['Action'],[],,1.0,5.41,1700.0
Kobutori (1929),5875,Movie,['Unknown'],fall,1929.0,,Other,['Comedy'],[],,1.0,5.87,3200.0
Oira no Yakyuu,5826,Movie,['Unknown'],winter,1930.0,,Original,['Sports'],[],,1.0,5.36,1900.0
Kaumori,5631,Movie,['Unknown'],winter,1930.0,,Original,['Drama'],[],,1.0,5.39,1400.0
Oira no Ski,23759,Movie,['Unknown'],winter,1930.0,,Original,"['Comedy', 'Sports']",[],,1.0,5.13,958.0
Entotsuya Peroo,15137,Movie,['Unknown'],spring,1930.0,,Original,[],[],,1.0,5.4,567.0
Osekisho,35390,Movie,['Unknown'],spring,1930.0,,Original,[],[],,1.0,4.52,536.0
Mura Matsuri,6769,Movie,['Unknown'],fall,1930.0,,Original,[],[],,1.0,4.91,2300.0
Kuro Nyago,4398,Movie,['Unknown'],winter,1931.0,,Original,['Fantasy'],[],,1.0,5.36,3300.0
Nonsense Monogatari Dai Ippen: Sarugashima,28695,Movie,['Unknown'],winter,1931.0,,Original,['Adventure'],[],,1.0,5.1,958.0
Kokka Kimigayo,4393,Movie,['Unknown'],spring,1931.0,,Original,[],[],,1.0,4.81,1900.0
Tanukichi no Ohanashi,35490,Movie,['Unknown'],spring,1931.0,,Original,['Fantasy'],[],,1.0,0.0,316.0
Sora no Momotarou,4390,Movie,['Unknown'],fall,1931.0,,Original,"['Adventure', 'Comedy']",[],,1.0,5.06,1400.0
Chongire Hebi,49254,Movie,['Unknown'],fall,1931.0,,,[],[],,1.0,0.0,31.0
Umi no Momotarou,5661,Movie,['Unknown'],winter,1932.0,,Original,[],[],,1.0,4.65,1400.0
Ooatari Sora no Entaku,4392,Movie,['Unknown'],fall,1932.0,,Original,['Comedy'],[],,1.0,5.06,1100.0
Hibari no Yadogae,5870,Movie,['Unknown'],winter,1933.0,,Original,['Action'],[],,1.0,4.79,1200.0
Kaeru San Yuushi,28051,Movie,['Unknown'],winter,1933.0,,Original,"['Adventure', 'Comedy']",[],,1.0,4.48,857.0
Norakuro Nitouhei: Kyouren no Maki,5871,Movie,['Unknown'],spring,1933.0,,Manga,"['Action', 'Adventure']",[],,1.0,4.92,1000.0
Norakuro Nitouhei: Enshuu no Maki,4395,Movie,['Unknown'],spring,1933.0,,Manga,['Adventure'],[],,1.0,4.98,980.0
Chikara to Onna no Yo no Naka,7354,Movie,['Unknown'],spring,1933.0,,Original,[],[],,1.0,0.0,592.0
Ugokie Kori no Tatehiki,3929,Movie,['Unknown'],fall,1933.0,,Original,"['Comedy', 'Supernatural']",[],,1.0,5.6,1300.0
Numa no Taishou,28049,Movie,['Unknown'],fall,1933.0,,Original,"['Adventure', 'Comedy']",[],,1.0,4.88,653.0
Osaru no Tairyou,23267,Movie,['Unknown'],fall,1933.0,,Original,['Slice of Life'],[],,1.0,5.1,612.0
Osaru no Sankichi: Totsugeki-tai,4397,Movie,['Unknown'],winter,1934.0,,Original,[],[],,1.0,4.6,1200.0
Norakuro Gochou,4394,Movie,['Unknown'],winter,1934.0,,Manga,['Adventure'],[],,1.0,4.99,1100.0
Adauchi Karasu,35212,Movie,['Unknown'],winter,1934.0,,,[],[],,1.0,0.0,373.0
