title;MAL_id;type;release-season;release-year;crazy-gump score;friends_mean_score;nb_who_watched_it;friend_who_watched_it
Diamond no Ace: Second Season;30230;TV;spring;2015;;10;4;"sazabiron;sazabiron;sazabiron;sazabiron;"
Pingu in the City;36259;TV;fall;2017;;10;2;"Zccdcccc;Zccdcccc;"
Nobunaga Concerto;24135;TV;summer;2014;;10;1;"sazabiron;"
Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Eien ni;11359;Special;summer;2011;;10;1;"sazabiron;"
Dragon Ball Kai;6033;TV;winter;2010;;10;5;"sazabiron;sazabiron;sazabiron;sazabiron;sazabiron;"
"Pokemon XY&amp;Z";31592;TV;fall;2015;;9;4;"Djidji;Djidji;Djidji;Djidji;"
Shoujo☆Kageki Revue Starlight Movie;40664;Movie;spring;2021;;9;1;"Yokanime;"
Pui Pui Molcar;44235;TV;winter;2021;8;9;1;"Yokanime;"
D4DJ: First Mix;39681;TV;fall;2020;;9;1;"Yokanime;"
BanG Dream! 3rd Season;37870;TV;winter;2020;;9;1;"Yokanime;"
Aikatsu Friends!: Kagayaki no Jewel;39078;TV;spring;2019;;9;2;"Yokanime;Yokanime;"
Aikatsu Friends!;37204;TV;spring;2018;;9;4;"Yokanime;Yokanime;Yokanime;Yokanime;"
Pokemon Generations;34514;ONA;fall;2016;;9;1;"Djidji;"
"Panty &amp; Stocking in Sanitarybox";10739;Special;spring;2011;;9;1;"Yokanime;"
Majo Minarai wo Sagashite;39585;Movie;fall;2020;;9;2;"DrNock;Yokanime;"
Seitokai Yakuindomo Movie;34504;Movie;summer;2017;;9;1;"Djidji;"
Mushishi Zoku Shou: Odoro no Michi;24687;Special;summer;2014;;9;1;"DrNock;"
Mushishi Zoku Shou 2nd Season;24701;TV;fall;2014;8;9;1;"DrNock;"
Soukyuu no Fafner: Dead Aggressor - Heaven and Earth;8098;Movie;fall;2010;;9;1;"Zccdcccc;"
Heartcatch Precure! Movie: Hana no Miyako de Fashion Show... Desu ka!?;9288;Movie;fall;2010;;9;2;"DrNock;Yokanime;"
