title,MAL_id,type,release-season,release-year,yokanime score,friends_mean_score,nb_who_watched_it,friend_who_watched_it
Daybreak Interlude,36289.0,Music,summer,2017.0,,10.0,2.0,Hakey;Hakey;
Vexille: 2077 Nihon Sakoku,2746.0,Movie,summer,2007.0,,10.0,2.0,Ramou;Ramou;
Yami no Matsuei,553.0,TV,fall,2000.0,,10.0,1.0,Momichi;
Leopard Eyes,32031.0,Music,fall,2015.0,,10.0,2.0,Hakey;Hakey;
Popee the Performer,6560.0,TV,winter,2000.0,,10.0,16.0,Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;
Gun-dou Musashi,1200.0,TV,spring,2006.0,,10.0,4.0,Exelen;Exelen;Exelen;Exelen;
Pretty Rhythm: Rainbow Live,17249.0,TV,spring,2013.0,,9.5,16.0,Apey_;Apey_;Apey_;Apey_;Nodamin;Nodamin;Nodamin;Nodamin;Apey_;Apey_;Apey_;Apey_;Nodamin;Nodamin;Nodamin;Nodamin;
Koukaku Kidoutai: Stand Alone Complex - The Laughing Man,2449.0,Special,summer,2005.0,,9.5,4.0,Aeden;Araya;Aeden;Araya;
Ginga Eiyuu Densetsu,820.0,OVA,spring,1991.0,,9.4,80.0,Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Ouaf;Ouaf;Ouaf;Ouaf;Ouaf;Ouaf;Ouaf;Ouaf;Araya;Araya;Araya;Araya;Araya;Araya;Araya;Araya;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Tinky;Tinky;Tinky;Tinky;Tinky;Tinky;Tinky;Tinky;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Ouaf;Ouaf;Ouaf;Ouaf;Ouaf;Ouaf;Ouaf;Ouaf;Araya;Araya;Araya;Araya;Araya;Araya;Araya;Araya;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Tinky;Tinky;Tinky;Tinky;Tinky;Tinky;Tinky;Tinky;
Aikatsu! Music Award: Minna de Shou wo MoracchaimaShow!,30845.0,Movie,summer,2015.0,8,9.333333333333334,6.0,Apey_;Hakey;Nodamin;Apey_;Hakey;Nodamin;
